,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,38,38,44,44,43,43,40,40,39,33,33,33
Reserves,76,114,283,372,466,554,636,751,873,834,951,"1,090"
Borrowings +,19,21,48,52,59,86,62,59,70,136,168,158
Other Liabilities +,149,235,273,345,428,503,571,584,770,816,755,857
Total Liabilities,282,408,648,813,996,"1,185","1,309","1,434","1,752","1,820","1,908","2,138"
Fixed Assets +,80,90,136,223,260,277,324,294,330,321,304,350
CWIP,9,0,12,5,20,39,0,1,0,0,0,0
Investments,0,0,76,17,11,8,1,1,1,1,5,19
Other Assets +,194,318,424,568,705,862,984,"1,138","1,420","1,498","1,599","1,769"
Total Assets,282,408,648,813,996,"1,185","1,309","1,434","1,752","1,820","1,908","2,138"
