,Mar 2016
Share Capital +,42.82
Reserves,298.10
Borrowings +,12.19
Other Liabilities +,0.63
Total Liabilities,353.74
Fixed Assets +,1.20
CWIP,0.00
Investments,352.52
Other Assets +,0.02
Total Assets,353.74
