,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16
Reserves,891,925,943,938,"1,084","1,131"
Borrowings +,"1,047",923,875,909,943,800
Other Liabilities +,234,268,291,275,382,436
Total Liabilities,"2,188","2,133","2,125","2,139","2,425","2,384"
Fixed Assets +,"1,116","1,061","1,044","1,199","1,181","1,127"
CWIP,10,21,177,42,16,12
Investments,51,26,1,1,1,1
Other Assets +,"1,012","1,024",903,897,"1,227","1,244"
Total Assets,"2,188","2,133","2,125","2,139","2,425","2,384"
