,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,17,18,20,20,21,21
Reserves,237,303,407,680,790,154
Borrowings +,333,569,819,886,700,"1,013"
Other Liabilities +,210,134,204,329,662,421
Total Liabilities,798,"1,024","1,449","1,915","2,174","1,610"
Fixed Assets +,294,310,628,"1,009",996,"1,368"
CWIP,233,386,356,374,547,63
Investments,0,0,0,0,0,0
Other Assets +,271,329,465,532,631,179
Total Assets,798,"1,024","1,449","1,915","2,174","1,610"
