,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,38,38,38,42,47,47
Reserves,948,"1,185","1,193","1,224","1,638","1,933","1,952"
Borrowings +,0,0,34,42,55,77,80
Other Liabilities +,70,63,194,198,228,220,210
Total Liabilities,"1,021","1,252","1,424","1,467","1,924","2,276","2,289"
Fixed Assets +,792,789,"1,010","1,016","1,022","1,041","1,040"
CWIP,0,0,0,0,0,0,0
Investments,165,405,287,295,645,884,929
Other Assets +,65,58,127,157,255,351,319
Total Assets,"1,021","1,252","1,424","1,467","1,924","2,276","2,289"
