,Mar 2018,Mar 2019,Mar 2020,Mar 2022
Sales +,32,30,26,39
Expenses +,21,20,15,23
Operating Profit,10,10,11,17
OPM %,33%,34%,42%,42%
Other Income +,2,2,2,2
Interest,0,0,0,0
Depreciation,2,3,3,4
Profit before tax,10,9,11,15
Tax %,30%,28%,26%,26%
Net Profit,7,7,8,11
EPS in Rs,3.38,3.21,3.84,5.32
