,Mar 2009,Mar 2010,Mar 2011,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,11,13,13,14,14,14,14,15,15,16
Reserves,27,25,26,37,40,40,48,51,52,38,38,43,45
Borrowings +,47,54,58,51,49,89,93,110,124,118,110,104,137
Other Liabilities +,37,34,41,56,61,69,78,86,71,68,77,99,94
Total Liabilities,122,124,135,155,164,211,233,260,261,238,240,261,292
Fixed Assets +,55,50,48,55,52,56,60,71,70,71,69,67,70
CWIP,0,0,0,0,1,4,2,0,4,3,0,2,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,66,74,87,99,111,151,172,188,187,164,172,192,222
Total Assets,122,124,135,155,164,211,233,260,261,238,240,261,292
