,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,97,114,233,292
Expenses +,97,108,218,270
Operating Profit,-1,6,15,21
OPM %,-1%,6%,6%,7%
Other Income +,14,10,12,14
Interest,0,0,1,1
Depreciation,7,5,7,7
Profit before tax,6,11,18,27
Tax %,-11%,23%,18%,
Net Profit,7,9,15,22
EPS in Rs,11.08,14.35,25.04,36.54
