,Mar 2015
Share Capital +,122
Reserves,187
Borrowings +,"1,202"
Other Liabilities +,447
Total Liabilities,"1,958"
Fixed Assets +,776
CWIP,1
Investments,0
Other Assets +,"1,181"
Total Assets,"1,958"
