,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,870","1,799","2,158","2,432","2,761","2,595","2,782","3,684","4,373"
Expenses +,"1,681","1,563","1,886","2,144","2,408","2,226","2,334","3,284","3,871"
Operating Profit,190,236,271,288,353,369,449,401,501
OPM %,10%,13%,13%,12%,13%,14%,16%,11%,11%
Other Income +,2,6,10,10,5,6,11,13,2
Interest,34,34,27,31,30,24,13,13,16
Depreciation,45,45,47,49,51,62,74,71,76
Profit before tax,112,163,207,219,277,289,372,329,411
Tax %,40%,37%,29%,28%,31%,20%,19%,20%,
Net Profit,67,103,148,158,191,230,302,263,328
EPS in Rs,19.03,28.97,41.64,44.57,53.87,64.99,85.22,74.12,92.59
