,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,62,67,70,70,70,70,70,70,70,70,72,72,72
Reserves,"1,768","2,401","2,677","2,907","3,101","3,261","3,240","3,182","3,264","3,270","4,531","5,551","5,921"
Borrowings +,957,817,"1,213","1,344","1,992","2,834","3,125","3,427","3,673","3,596","4,160","4,068","3,998"
Other Liabilities +,815,698,854,"1,029","1,297","1,195","1,668","1,917","2,159","4,354","2,629","3,493","3,984"
Total Liabilities,"3,602","3,983","4,814","5,350","6,459","7,360","8,103","8,596","9,166","11,289","11,392","13,184","13,975"
Fixed Assets +,"1,530","2,011","2,341","2,681","3,244","3,997","4,591","4,773","4,982","7,432","6,778","8,269","8,256"
CWIP,361,209,403,491,533,562,347,712,822,236,234,46,548
Investments,502,564,527,322,311,352,406,352,462,434,"1,343",780,631
Other Assets +,"1,210","1,198","1,543","1,855","2,372","2,448","2,759","2,759","2,901","3,187","3,037","4,090","4,540"
Total Assets,"3,602","3,983","4,814","5,350","6,459","7,360","8,103","8,596","9,166","11,289","11,392","13,184","13,975"
