,Mar 2013,Mar 2014,Mar 2015
Sales +,437,920,944
Expenses +,371,820,892
Operating Profit,66,100,52
OPM %,15%,11%,6%
Other Income +,3,7,0
Interest,20,29,40
Depreciation,12,13,11
Profit before tax,38,65,1
Tax %,32%,30%,12%
Net Profit,26,46,1
EPS in Rs,11.36,20.29,0.54
