,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4,4,4,8,8,8,8,8,8
Reserves,33,37,41,42,51,65,75,97,108,132,184,223
Borrowings +,18,25,31,41,47,29,36,45,25,29,58,76
Other Liabilities +,26,22,25,30,23,18,28,27,23,52,58,64
Total Liabilities,81,87,101,116,125,116,147,176,163,221,308,370
Fixed Assets +,20,20,35,37,41,43,45,45,45,46,79,99
CWIP,0,9,1,3,4,4,5,6,18,25,8,14
Investments,0,0,0,0,1,7,8,11,11,13,17,9
Other Assets +,60,58,65,76,78,61,89,115,88,137,205,248
Total Assets,81,87,101,116,125,116,147,176,163,221,308,370
