,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,12,12,12,12,12,12,14
Reserves,113,115,116,115,101,84,75,64,43,46,50,30,36
Borrowings +,23,18,16,26,28,33,24,26,21,11,20,18,27
Other Liabilities +,17,19,16,20,20,27,21,19,16,16,12,19,9
Total Liabilities,165,165,161,174,162,157,133,121,93,85,95,80,86
Fixed Assets +,26,28,60,58,53,50,55,54,43,33,32,25,25
CWIP,45,44,10,10,10,10,-0,-0,-0,0,-0,-0,-0
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,94,93,91,107,99,97,78,68,50,53,63,55,61
Total Assets,165,165,161,174,162,157,133,121,93,85,95,80,86
