,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Sep 2022
Share Capital +,0,49,49,49,49,5,5,53,53
Reserves,-34,-41,-47,-54,-65,-24,-14,-19,-17
Borrowings +,8,10,10,11,12,13,7,4,6
Other Liabilities +,87,15,18,45,37,11,3,15,24
Total Liabilities,61,32,29,51,33,4,0,53,65
Fixed Assets +,2,1,0,0,0,0,0,6,6
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,6,9
Other Assets +,59,32,28,51,33,4,0,41,51
Total Assets,61,32,29,51,33,4,0,53,65
