,Mar 2021,Mar 2022,TTM
Sales +,435,975,"1,090"
Expenses +,403,903,"1,003"
Operating Profit,33,73,87
OPM %,8%,7%,8%
Other Income +,5,4,4
Interest,9,6,7
Depreciation,2,2,3
Profit before tax,27,68,82
Tax %,26%,26%,
Net Profit,20,50,60
EPS in Rs,3.78,8.45,9.81
