,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,14,14,14,15,15,15,16,16,16,16,22,22
Reserves,-3,4,9,12,17,21,27,34,45,52,58,141,140
Borrowings +,29,32,35,37,29,23,25,23,18,35,25,19,19
Other Liabilities +,19,21,21,23,27,31,23,28,27,33,38,45,45
Total Liabilities,58,70,80,86,88,91,90,100,106,135,138,227,226
Fixed Assets +,15,13,12,12,12,11,18,16,15,28,30,57,58
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,43,57,68,74,76,80,72,85,91,107,108,170,167
Total Assets,58,70,80,86,88,91,90,100,106,135,138,227,226
