,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15
Reserves,29,35,41,45
Borrowings +,34,38,51,48
Other Liabilities +,29,42,53,56
Total Liabilities,107,130,159,163
Fixed Assets +,11,38,37,36
CWIP,15,0,0,0
Investments,0,0,0,0
Other Assets +,82,92,122,127
Total Assets,107,130,159,163
