,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Sep 2014
Share Capital +,29,29,34,34,34,34,34,34
Reserves,23,44,81,93,29,37,69,91
Borrowings +,55,80,83,166,218,289,322,296
Other Liabilities +,66,113,90,93,117,158,158,283
Total Liabilities,173,265,288,386,398,517,583,703
Fixed Assets +,58,92,95,121,127,155,167,212
CWIP,1,2,3,15,46,43,47,0
Investments,0,0,0,0,0,0,0,0
Other Assets +,114,171,190,250,225,319,369,491
Total Assets,173,265,288,386,398,517,583,703
