,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,115,114,114,109,108,104,106,106,106,104,106,106
Reserves,773,770,795,653,548,511,459,471,460,484,522,547,534
Borrowings +,29,81,49,88,46,20,0,0,0,21,8,7,6
Other Liabilities +,261,274,341,343,337,316,277,238,307,294,272,250,264
Total Liabilities,"1,122","1,241","1,299","1,198","1,040",955,841,814,872,905,906,910,911
Fixed Assets +,582,556,533,503,246,106,69,55,119,101,100,102,200
CWIP,14,11,24,12,5,5,4,2,1,1,20,71,3
Investments,54,43,34,41,72,93,93,120,192,183,141,95,84
Other Assets +,472,631,707,642,716,751,675,636,561,620,646,642,624
Total Assets,"1,122","1,241","1,299","1,198","1,040",955,841,814,872,905,906,910,911
