,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,184,111,87,68,60
Expenses +,146,117,98,67,65
Operating Profit,38,-7,-11,1,-5
OPM %,20%,-6%,-12%,1%,-8%
Other Income +,-77,4,2,3,1
Interest,29,21,0,0,0
Depreciation,27,28,26,26,25
Profit before tax,-95,-51,-35,-22,-29
Tax %,0%,0%,0%,0%,
Net Profit,-95,-51,-35,-22,-29
EPS in Rs,-31.28,-15.54,-10.57,-6.66,-8.73
