,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016
Sales +,335,420,523,627,804,"1,074","1,325",838,253
Expenses +,296,381,468,554,708,952,"1,167",873,387
Operating Profit,39,39,55,72,96,121,158,-34,-134
OPM %,12%,9%,10%,12%,12%,11%,12%,-4%,-53%
Other Income +,2,2,0,1,1,1,2,-82,-70
Interest,7,14,21,27,34,43,59,94,71
Depreciation,4,4,6,8,9,12,15,19,15
Profit before tax,31,22,28,38,54,67,85,-229,-290
Tax %,13%,16%,19%,14%,21%,20%,18%,-2%,-3%
Net Profit,27,19,22,33,43,54,70,-234,-300
EPS in Rs,2.58,1.77,2.12,3.15,4.05,5.09,6.66,-19.67,-25.25
