,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,45,28,29,29
Reserves,-94,220,518,637,717
Borrowings +,121,114,193,250,393
Other Liabilities +,380,165,176,205,233
Total Liabilities,414,508,915,"1,120","1,372"
Fixed Assets +,61,38,128,158,297
CWIP,0,0,0,0,0
Investments,98,83,391,472,8
Other Assets +,254,387,395,491,"1,067"
Total Assets,414,508,915,"1,120","1,372"
