,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,25,25,25,25,27,27,31
Reserves,280,364,478,581,644,173,"-1,068"
Borrowings +,381,547,"1,024","1,392","1,603","2,295","2,568"
Other Liabilities +,116,133,142,297,597,57,38
Total Liabilities,802,"1,069","1,668","2,296","2,872","2,552","1,568"
Fixed Assets +,258,350,445,636,748,755,688
CWIP,0,26,59,84,8,4,4
Investments,6,3,3,9,9,3,3
Other Assets +,538,690,"1,161","1,566","2,107","1,790",873
Total Assets,802,"1,069","1,668","2,296","2,872","2,552","1,568"
