,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,9,10,10,16,17,17,17,17,17,17,17,17
Reserves,41,66,107,199,227,224,259,333,374,428,573,566
Borrowings +,121,170,183,172,186,183,166,139,66,61,58,64
Other Liabilities +,86,93,99,125,97,67,180,121,97,98,105,146
Total Liabilities,256,338,400,512,527,492,621,609,554,603,753,793
Fixed Assets +,63,68,63,119,113,218,207,216,201,189,324,289
CWIP,19,47,94,95,101,2,1,1,13,19,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,174,223,243,298,312,272,412,392,340,395,429,503
Total Assets,256,338,400,512,527,492,621,609,554,603,753,793
