,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,20,8,8,10,10,10,10,10,11
Reserves,128,139,103,116,70,33,22,33,22,17,20,26,34
Borrowings +,23,31,30,26,0,0,0,0,0,14,30,34,48
Other Liabilities +,38,37,43,31,5,12,7,9,5,7,8,6,13
Total Liabilities,209,226,195,192,95,53,37,52,36,48,67,76,106
Fixed Assets +,161,173,133,133,3,5,6,4,1,2,3,2,3
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,2,1,80,34,20,8,0,0,0,0,0
Other Assets +,47,53,60,58,12,14,11,41,35,46,65,73,104
Total Assets,209,226,195,192,95,53,37,52,36,48,67,76,106
