,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,11,11,11
Reserves,13,10,13,13
Borrowings +,10,10,13,13
Other Liabilities +,2,4,9,-1
Total Liabilities,31,36,45,35
Fixed Assets +,1,1,1,1
CWIP,0,1,2,2
Investments,0,0,0,1
Other Assets +,31,34,43,32
Total Assets,31,36,45,35
