,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11
Reserves,"3,499","3,705","3,482","4,244","4,887"
Borrowings +,968,"1,718","1,591","1,556","1,735"
Other Liabilities +,441,634,885,"1,067","1,278"
Total Liabilities,"4,919","6,067","5,969","6,878","7,912"
Fixed Assets +,"2,305","2,414","2,367","2,514","2,716"
CWIP,229,318,400,680,819
Investments,342,259,88,20,1
Other Assets +,"2,042","3,076","3,114","3,665","4,376"
Total Assets,"4,919","6,067","5,969","6,878","7,912"
