,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,0,0,0,14,14,14,14,14,14,14
Reserves,48,106,176,266,299,553,848,"1,137","1,283","1,563","1,894","2,013"
Borrowings +,5,3,1,1,0,1,377,176,0,7,84,262
Other Liabilities +,49,63,94,91,98,124,170,175,205,202,234,580
Total Liabilities,102,172,271,357,397,692,"1,408","1,502","1,502","1,785","2,226","2,869"
Fixed Assets +,23,27,75,72,71,232,771,761,875,854,918,"1,816"
CWIP,0,0,0,0,0,0,0,3,4,2,27,108
Investments,13,47,84,167,190,303,365,356,78,294,520,4
Other Assets +,65,98,112,119,136,157,271,383,544,636,761,940
Total Assets,102,172,271,357,397,692,"1,408","1,502","1,502","1,785","2,226","2,869"
