,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,62,101,101,126,67,74,94,95,95,97,118,155
Reserves,299,220,223,206,294,519,"1,058","1,225",985,"1,038","1,475","2,493"
Borrowings +,221,222,268,250,259,281,2,1,28,22,20,57
Other Liabilities +,59,152,193,210,219,160,175,264,132,156,498,431
Total Liabilities,640,656,745,728,838,"1,034","1,330","1,585","1,241","1,312","2,110","3,136"
Fixed Assets +,111,77,65,51,94,92,75,99,79,111,138,621
CWIP,75,71,84,88,52,19,47,41,27,24,40,4
Investments,16,0,0,0,0,0,77,87,51,37,402,309
Other Assets +,438,508,597,589,692,924,"1,132","1,358","1,085","1,139","1,531","2,202"
Total Assets,640,656,745,728,838,"1,034","1,330","1,585","1,241","1,312","2,110","3,136"
