,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14
Reserves,11,16,18,33,50
Borrowings +,52,54,61,43,47
Other Liabilities +,25,22,21,24,28
Total Liabilities,102,106,114,114,139
Fixed Assets +,64,68,71,70,76
CWIP,0,0,0,0,2
Investments,0,0,0,0,0
Other Assets +,38,38,43,43,60
Total Assets,102,106,114,114,139
