,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,16,18,18,18,18,18,37,37,37,37,37
Reserves,623,604,567,716,762,883,"1,071","1,126","1,290","1,192","1,392","1,407","1,428"
Borrowings +,69,566,630,534,569,451,498,544,281,283,168,171,160
Other Liabilities +,132,241,305,386,468,417,266,291,335,325,359,408,478
Total Liabilities,832,"1,419","1,518","1,654","1,817","1,770","1,853","1,979","1,942","1,836","1,956","2,023","2,103"
Fixed Assets +,239,"1,030","1,062","1,094","1,074","1,068","1,097","1,091","1,101","1,149","1,147","1,122","1,158"
CWIP,13,3,7,4,16,8,9,15,14,24,10,8,4
Investments,62,2,2,61,194,86,28,113,104,0,0,0,0
Other Assets +,518,384,447,494,533,608,719,760,723,662,799,893,940
Total Assets,832,"1,419","1,518","1,654","1,817","1,770","1,853","1,979","1,942","1,836","1,956","2,023","2,103"
