,Mar 2021,Mar 2022,Sep 2022
Share Capital +,49,49,49
Reserves,"1,514","1,836","2,050"
Borrowings +,18,16,16
Other Liabilities +,721,727,772
Total Liabilities,"2,303","2,628","2,887"
Fixed Assets +,345,402,427
CWIP,65,52,33
Investments,2,2,2
Other Assets +,"1,890","2,172","2,424"
Total Assets,"2,303","2,628","2,887"
