,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,636,835,"1,136","1,410","1,808",486,127
Expenses +,534,688,915,"1,140","1,524",744,"1,012"
Operating Profit,103,148,222,270,284,-258,-886
OPM %,16%,18%,20%,19%,16%,-53%,-700%
Other Income +,15,16,3,0,4,-95,-28
Interest,33,50,73,128,166,231,272
Depreciation,11,17,24,28,66,45,62
Profit before tax,74,97,127,115,56,-629,"-1,248"
Tax %,13%,7%,6%,6%,24%,23%,0%
Net Profit,64,90,120,108,43,-487,"-1,248"
EPS in Rs,25.59,35.64,47.47,42.97,16.06,-183.10,-404.81
