,Mar 2014,Mar 2015
Sales +,154,201
Expenses +,112,139
Operating Profit,42,62
OPM %,27%,31%
Other Income +,4,7
Interest,6,6
Depreciation,15,16
Profit before tax,25,47
Tax %,0%,0%
Net Profit,25,47
EPS in Rs,0.94,1.79
