,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,38,38,39,39,39,39,39
Reserves,405,449,537,573,683,773,797
Borrowings +,321,330,491,510,538,933,"1,162"
Other Liabilities +,175,236,359,262,280,431,479
Total Liabilities,939,"1,053","1,426","1,384","1,540","2,176","2,477"
Fixed Assets +,388,437,498,598,598,704,960
CWIP,24,49,95,30,175,373,124
Investments,1,3,0,1,0,12,10
Other Assets +,527,564,833,754,768,"1,087","1,383"
Total Assets,939,"1,053","1,426","1,384","1,540","2,176","2,477"
