,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,597,"1,024","1,341","1,324","1,277","1,404","1,561"
Expenses +,525,894,"1,128","1,104","1,067","1,209","1,361"
Operating Profit,72,130,213,221,210,195,199
OPM %,12%,13%,16%,17%,16%,14%,13%
Other Income +,10,16,14,66,43,38,42
Interest,20,24,29,38,24,25,40
Depreciation,27,43,47,57,71,75,86
Profit before tax,36,79,152,193,158,133,116
Tax %,24%,32%,38%,24%,26%,27%,
Net Profit,27,53,94,146,117,97,85
EPS in Rs,7.21,14.19,24.10,37.35,29.90,24.91,21.77
