,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,3,3,3,3,3,3,3
Reserves,28,35,43,47,48,52,60,75,84,100,131,139
Borrowings +,15,21,28,42,39,35,29,26,17,12,34,32
Other Liabilities +,22,19,19,23,20,24,30,26,23,39,45,47
Total Liabilities,68,78,93,115,111,114,122,130,128,154,214,222
Fixed Assets +,23,25,24,56,54,49,49,47,44,41,67,67
CWIP,0,1,8,1,1,0,0,0,1,1,8,15
Investments,0,0,0,3,0,0,0,0,1,0,0,1
Other Assets +,46,52,60,56,56,64,72,83,82,112,138,139
Total Assets,68,78,93,115,111,114,122,130,128,154,214,222
