,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,84.17,108.83,59.67,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97
Reserves,-34.22,-37.08,160.91,19.78,30.94,54.82,68.56,80.82,84.53,84.64,95.76,99.46
Borrowings +,34.22,25.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities +,104.16,124.97,91.23,15.90,12.27,11.57,11.07,12.84,11.28,11.79,16.55,16.02
Total Liabilities,163.83,173.00,311.81,41.65,49.18,72.36,85.60,99.63,101.78,102.40,118.28,121.45
Fixed Assets +,93.25,84.50,72.42,9.71,8.80,8.03,7.17,6.26,6.68,5.78,6.62,9.17
CWIP,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.73,11.40,10.41
Investments,0.03,0.10,0.06,0.05,1.29,8.50,22.20,24.76,24.75,30.47,55.54,61.30
Other Assets +,70.55,88.40,239.33,31.77,39.09,55.83,56.23,68.61,70.35,65.42,44.72,40.57
Total Assets,163.83,173.00,311.81,41.65,49.18,72.36,85.60,99.63,101.78,102.40,118.28,121.45
