,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2,16,25,26,26
Reserves,32,43,44,50,55
Borrowings +,29,56,122,137,193
Other Liabilities +,8,19,31,58,25
Total Liabilities,71,134,222,271,300
Fixed Assets +,26,44,34,38,50
CWIP,4,0,0,0,1
Investments,2,3,3,3,3
Other Assets +,38,86,184,230,246
Total Assets,71,134,222,271,300
