,Mar 2006,Mar 2007,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,9,14,15,15,17,17,17
Reserves,128,337,199,205,128,-3,-21
Borrowings +,159,165,209,261,315,317,316
Other Liabilities +,47,90,181,218,154,195,192
Total Liabilities,343,606,602,699,614,525,505
Fixed Assets +,44,49,56,38,33,31,28
CWIP,11,34,4,12,8,7,6
Investments,0,3,47,44,48,48,48
Other Assets +,289,519,496,605,525,440,423
Total Assets,343,606,602,699,614,525,505
