,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,239","1,368","1,119","1,137","1,826","2,222","1,916","2,080","3,810","5,258"
Expenses +,"1,127","1,222",970,968,"1,674","1,962","1,650","1,598","3,125","4,621"
Operating Profit,112,147,148,170,152,260,265,482,685,637
OPM %,9%,11%,13%,15%,8%,12%,14%,23%,18%,12%
Other Income +,51,52,56,50,2,2,14,2,10,66
Interest,23,30,24,14,13,18,19,27,31,66
Depreciation,37,51,45,47,51,57,60,79,95,135
Profit before tax,103,117,136,159,91,188,200,378,568,502
Tax %,25%,27%,26%,25%,25%,30%,25%,18%,44%,
Net Profit,78,86,100,119,68,132,151,311,316,274
EPS in Rs,60.08,63.50,74.46,77.66,51.10,86.60,98.77,168.71,197.95,165.73
