,Mar 2007,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,50,40,40,40,40,40,40,40,40,40
Reserves,492,540,574,657,665,638,615,606,760,912
Borrowings +,992,973,942,880,970,845,707,696,704,383
Other Liabilities +,90,196,129,176,243,267,289,235,324,122
Total Liabilities,"1,614","1,748","1,685","1,754","1,918","1,790","1,651","1,578","1,829","1,457"
Fixed Assets +,494,615,542,545,559,583,562,534,530,505
CWIP,172,40,18,56,45,24,17,12,5,30
Investments,101,139,144,146,138,92,91,91,94,93
Other Assets +,847,955,980,"1,006","1,176","1,091",981,941,"1,201",829
Total Assets,"1,614","1,748","1,685","1,754","1,918","1,790","1,651","1,578","1,829","1,457"
