,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14
Reserves,425,525,667,837,997,"1,156","1,343","1,515","1,684","1,798"
Borrowings +,0,0,0,0,0,0,0,0,1,1
Other Liabilities +,122,137,159,182,172,178,252,293,273,308
Total Liabilities,561,676,841,"1,033","1,183","1,349","1,610","1,822","1,972","2,121"
Fixed Assets +,160,159,165,188,229,213,776,759,846,832
CWIP,5,100,143,262,357,509,2,51,82,86
Investments,368,384,442,482,499,531,672,810,846,994
Other Assets +,28,33,90,101,99,96,160,202,197,210
Total Assets,561,676,841,"1,033","1,183","1,349","1,610","1,822","1,972","2,121"
