,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,"1,049","1,780",411,411,428,428,428,428,21,21,21,21
Reserves,"6,878","6,831","1,752","1,792","2,299","2,657","2,992","3,914",133,292,205,174
Borrowings +,"6,739","7,508","4,476","5,505","5,755","5,965","6,403","8,600",477,628,667,666
Other Liabilities +,"1,235","2,374",794,977,981,858,996,"2,218","2,148",183,195,208
Total Liabilities,"15,467","17,328","7,433","8,685","9,463","9,907","10,819","15,160","2,779","1,124","1,089","1,069"
Fixed Assets +,"12,460","11,669","4,680","5,738","6,392","6,898","6,702","8,550",290,792,774,710
CWIP,"1,051","3,110","1,862","2,135","1,984","1,589","1,935","2,707",180,0,0,0
Investments,520,413,1,1,1,1,2,1,33,165,98,79
Other Assets +,"1,436","2,135",890,811,"1,086","1,419","2,180","3,902","2,276",168,217,279
Total Assets,"15,467","17,328","7,433","8,685","9,463","9,907","10,819","15,160","2,779","1,124","1,089","1,069"
