,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,70,70,70,66,63,60,60,76,76,73,71,71,67
Reserves,199,244,278,311,342,454,416,528,591,628,625,664,665
Borrowings +,169,174,163,156,195,267,299,355,445,490,618,646,736
Other Liabilities +,135,212,251,306,334,644,709,553,631,663,579,760,814
Total Liabilities,564,691,754,832,931,"1,425","1,484","1,512","1,744","1,853","1,893","2,141","2,282"
Fixed Assets +,203,246,235,268,282,464,441,342,454,626,603,644,711
CWIP,7,2,17,13,3,3,12,27,118,33,61,76,15
Investments,0,0,3,26,26,33,35,69,52,45,18,45,19
Other Assets +,354,444,499,526,620,925,996,"1,073","1,120","1,149","1,211","1,376","1,537"
Total Assets,564,691,754,832,931,"1,425","1,484","1,512","1,744","1,853","1,893","2,141","2,282"
