,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3.73,3.73,7.96,7.96,7.96,7.96,3.73,11.56,11.56,11.56,11.56,7.33,3.73
Reserves,49.08,49.85,50.53,51.10,53.98,56.18,59.92,62.88,79.04,78.81,80.64,81.66,85.20
Borrowings +,0.00,2.05,8.32,26.98,25.36,21.62,37.66,16.12,9.18,2.24,2.12,6.37,9.32
Other Liabilities +,2.97,7.93,17.31,20.90,24.82,27.35,14.43,22.26,20.79,22.81,24.50,20.54,14.78
Total Liabilities,55.78,63.56,79.89,102.71,107.89,108.88,115.74,104.99,112.74,107.59,110.99,112.30,113.03
Fixed Assets +,43.32,43.04,60.68,61.93,89.99,89.84,98.53,97.11,84.80,86.01,95.66,94.62,93.73
CWIP,7.40,8.33,13.91,36.02,10.09,10.26,0.21,0.58,3.21,5.71,0.02,0.24,2.53
Investments,0.05,8.62,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.63,3.13
Other Assets +,5.01,3.57,5.20,4.66,7.81,8.78,17.00,7.30,24.73,15.87,13.31,14.81,13.64
Total Assets,55.78,63.56,79.89,102.71,107.89,108.88,115.74,104.99,112.74,107.59,110.99,112.30,113.03
