,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,327","1,373","1,371","1,651","2,700","4,230","4,360","6,802","7,614"
Expenses +,"1,187","1,204","1,231","1,447","2,278","3,194","3,108","5,196","6,225"
Operating Profit,140,169,139,204,421,"1,035","1,252","1,607","1,389"
OPM %,11%,12%,10%,12%,16%,24%,29%,24%,18%
Other Income +,1,-0,80,7,11,29,20,42,51
Interest,38,40,37,47,87,118,77,36,28
Depreciation,36,40,48,53,78,140,153,178,174
Profit before tax,67,89,135,111,268,806,"1,042","1,434","1,237"
Tax %,21%,29%,28%,29%,35%,24%,26%,26%,
Net Profit,53,63,96,79,174,611,776,"1,067",919
EPS in Rs,5.06,5.39,7.37,5.79,12.73,44.80,56.88,78.20,67.36
