,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,26,27,36,36,36
Reserves,739,826,963,"1,553","1,489","1,462"
Borrowings +,633,538,722,621,"1,037",973
Other Liabilities +,425,570,442,404,390,394
Total Liabilities,"1,821","1,960","2,153","2,614","2,953","2,866"
Fixed Assets +,"1,086","1,218","1,397","1,382","1,356","1,366"
CWIP,71,40,40,88,239,230
Investments,1,0,0,0,0,2
Other Assets +,663,701,716,"1,144","1,357","1,268"
Total Assets,"1,821","1,960","2,153","2,614","2,953","2,866"
