,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5
Reserves,124,156,212,231
Borrowings +,34,31,90,66
Other Liabilities +,24,34,44,47
Total Liabilities,186,226,352,349
Fixed Assets +,40,38,47,46
CWIP,6,8,37,58
Investments,0,0,0,0
Other Assets +,141,179,268,245
Total Assets,186,226,352,349
