,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9.42,9.42,9.47,10.15,10.15
Reserves,51.36,57.32,60.29,74.55,76.88
Borrowings +,15.79,28.13,36.59,35.02,39.27
Other Liabilities +,8.44,12.43,14.08,13.79,16.94
Total Liabilities,85.01,107.30,120.43,133.51,143.24
Fixed Assets +,8.82,10.93,24.67,31.99,38.87
CWIP,5.11,6.06,3.08,3.78,0.00
Investments,10.93,8.56,5.14,5.62,2.16
Other Assets +,60.15,81.75,87.54,92.12,102.21
Total Assets,85.01,107.30,120.43,133.51,143.24
