,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,24,31,31,31,34,34,34
Reserves,188,217,241,339,861,955,"1,097","1,570","1,701","1,756"
Borrowings +,315,366,358,395,114,251,383,399,"1,069","1,347"
Other Liabilities +,336,401,494,493,721,"1,133","1,388","1,582","2,107","1,235"
Total Liabilities,861,"1,006","1,115","1,251","1,728","2,371","2,899","3,585","4,910","4,371"
Fixed Assets +,349,418,500,557,710,809,"1,106","1,144","1,505","1,749"
CWIP,52,52,36,21,30,34,12,43,128,299
Investments,0,0,0,0,6,0,0,108,225,157
Other Assets +,460,536,579,672,983,"1,528","1,781","2,289","3,051","2,166"
Total Assets,861,"1,006","1,115","1,251","1,728","2,371","2,899","3,585","4,910","4,371"
