,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,7,7,7,7,7,7
Reserves,627,683,725,746,754,810,910,903
Borrowings +,5,5,5,4,6,0,0,0
Other Liabilities +,62,84,88,89,84,105,85,92
Total Liabilities,699,776,825,847,851,922,"1,002","1,003"
Fixed Assets +,120,124,122,125,122,116,113,113
CWIP,0,0,0,0,0,0,0,0
Investments,470,536,605,608,616,687,796,799
Other Assets +,109,116,98,113,113,119,93,91
Total Assets,699,776,825,847,851,922,"1,002","1,003"
