,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,18,19,19,19,20,20,20,20,20,20,20
Reserves,80,80,87,95,116,99,119,150,183,227,290,377,404
Borrowings +,41,74,73,83,93,127,127,125,176,99,187,279,321
Other Liabilities +,36,60,83,88,133,85,69,119,83,226,181,221,210
Total Liabilities,174,231,261,284,362,330,334,413,461,572,678,897,954
Fixed Assets +,73,76,121,132,133,95,103,115,167,194,213,340,342
CWIP,9,44,13,6,12,20,8,42,19,24,116,23,27
Investments,8,12,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,84,100,127,146,216,215,223,256,275,354,349,534,586
Total Assets,174,231,261,284,362,330,334,413,461,572,678,897,954
