,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3.11,3.11,3.11,3.11,3.11,3.11,3.11
Reserves,18.86,19.15,19.85,12.28,15.07,18.34,18.80
Borrowings +,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities +,0.12,0.10,0.16,0.08,0.10,0.56,0.46
Total Liabilities,22.09,22.36,23.12,15.47,18.28,22.01,22.37
Fixed Assets +,0.86,0.69,0.64,0.39,0.34,0.32,0.32
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,5.54,5.81,6.05,4.01,6.55,9.64,10.00
Other Assets +,15.69,15.86,16.43,11.07,11.39,12.05,12.05
Total Assets,22.09,22.36,23.12,15.47,18.28,22.01,22.37
