,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,23,23,23,23,23,23,23
Reserves,591,647,723,761,815,882,934,947
Borrowings +,233,221,240,276,257,207,271,245
Other Liabilities +,171,156,334,316,297,254,284,300
Total Liabilities,"1,018","1,047","1,320","1,376","1,392","1,366","1,512","1,515"
Fixed Assets +,138,164,167,178,173,163,156,154
CWIP,2,0,2,2,1,0,2,2
Investments,101,204,234,242,207,259,314,333
Other Assets +,776,679,918,955,"1,011",944,"1,041","1,025"
Total Assets,"1,018","1,047","1,320","1,376","1,392","1,366","1,512","1,515"
