,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,31,31,31,35,31,35,35,36,40,40
Reserves,337,360,398,466,516,605,698,725,860,"1,275"
Borrowings +,257,258,384,419,500,693,797,938,"1,161",549
Other Liabilities +,110,141,176,204,254,309,398,527,402,623
Total Liabilities,734,791,990,"1,125","1,300","1,641","1,929","2,226","2,463","2,488"
Fixed Assets +,273,282,304,386,396,424,410,421,406,442
CWIP,10,18,22,11,6,6,8,7,10,317
Investments,4,5,5,3,3,2,2,1,2,3
Other Assets +,447,485,659,726,896,"1,210","1,509","1,798","2,044","1,725"
Total Assets,734,791,990,"1,125","1,300","1,641","1,929","2,226","2,463","2,488"
