,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"1,899","1,899","1,899","1,999","1,999","1,999","1,999","1,999","1,999","2,728","2,746","2,795","2,831"
Reserves,"46,868","48,712","48,423","57,757","37,778","64,823","65,494","67,600","69,424","74,417","56,207","63,759","70,022"
Borrowings +,"58,749","69,023","66,736","75,896","83,415","100,646","107,288","111,334","125,428","148,228","162,785","169,678","217,989"
Other Liabilities +,"37,742","36,265","40,912","45,840","58,747","57,004","57,542","68,589","77,176","133,718","122,679","124,975","133,547"
Total Liabilities,"145,258","155,900","157,970","181,492","181,939","224,472","232,322","249,521","274,026","359,091","344,417","361,207","424,389"
Fixed Assets +,"124,051","129,168","125,674","140,614","124,279","172,293","178,235","187,200","200,832","229,256","223,480","244,083","302,493"
CWIP,"4,823","4,414","2,992",0,"17,415","5,702","10,838","9,751","9,634","4,282","5,726","5,955","6,412"
Investments,622,"1,836","7,710","15,531","10,752","11,977","14,339","16,159","15,711","25,476","27,550","29,349","29,650"
Other Assets +,"15,761","20,482","21,594","25,347","29,494","34,500","28,910","36,411","47,850","100,077","87,661","81,820","85,833"
Total Assets,"145,258","155,900","157,970","181,492","181,939","224,472","232,322","249,521","274,026","359,091","344,417","361,207","424,389"
