,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,64,64,64,64,64,64,64,64,64,64,64,64,64
Reserves,"1,606","1,982","2,471","2,799","3,180","3,633","3,937","4,288","4,254","4,032","4,003","4,703","5,075"
Borrowings +,133,0,0,0,679,-0,-0,-0,-0,-0,1,1,1
Other Liabilities +,836,"1,175","1,175","1,091","1,045","1,012","1,120","1,044",894,967,905,"1,153","1,136"
Total Liabilities,"2,639","3,220","3,710","3,953","4,966","4,709","5,121","5,395","5,211","5,063","4,973","5,920","6,275"
Fixed Assets +,"1,517","1,758","1,780","1,862","1,771","1,719","2,075","2,147","2,131","2,058","1,585","1,510","1,488"
CWIP,19,6,24,12,958,31,21,11,1,4,6,23,12
Investments,133,133,183,260,121,644,657,782,429,264,299,596,562
Other Assets +,970,"1,324","1,723","1,818","2,117","2,314","2,368","2,456","2,651","2,737","3,083","3,791","4,213"
Total Assets,"2,639","3,220","3,710","3,953","4,966","4,709","5,121","5,395","5,211","5,063","4,973","5,920","6,275"
