,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,36.08,50.10,41.73,41.93,41.59,36.85
Expenses +,26.96,40.72,38.65,44.62,44.18,35.91
Operating Profit,9.12,9.38,3.08,-2.69,-2.59,0.94
OPM %,25.28%,18.72%,7.38%,-6.42%,-6.23%,2.55%
Other Income +,0.15,0.58,0.22,-0.15,-0.09,0.05
Interest,3.05,1.45,0.65,0.43,0.59,0.41
Depreciation,0.83,1.42,1.48,1.16,0.98,0.92
Profit before tax,5.39,7.09,1.17,-4.43,-4.25,-0.34
Tax %,28.01%,26.80%,30.77%,2.71%,32.94%,
Net Profit,3.88,5.19,0.80,-4.31,-2.85,0.98
EPS in Rs,3.63,4.85,0.75,-4.03,-2.67,0.92
