,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,42,42,42,42,42,42,42,41,41,40,40
Reserves,817,801,879,"1,013","1,104","1,434","1,682","1,816","2,033","2,128","2,226"
Borrowings +,830,964,880,940,801,432,74,13,18,16,58
Other Liabilities +,288,309,388,471,534,597,499,488,470,561,584
Total Liabilities,"1,978","2,116","2,190","2,466","2,480","2,506","2,297","2,358","2,562","2,745","2,909"
Fixed Assets +,"1,130","1,143","1,028",919,863,785,722,696,823,923,875
CWIP,129,99,41,49,55,36,74,238,127,109,222
Investments,2,2,2,2,1,1,2,2,2,164,190
Other Assets +,717,873,"1,119","1,496","1,561","1,684","1,498","1,423","1,611","1,549","1,623"
Total Assets,"1,978","2,116","2,190","2,466","2,480","2,506","2,297","2,358","2,562","2,745","2,909"
