,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6
Reserves,255,276,289,309,313,322,327,330
Borrowings +,0,0,1,2,3,2,0,1
Other Liabilities +,40,32,43,37,32,41,32,28
Total Liabilities,301,314,338,353,353,370,365,365
Fixed Assets +,65,68,77,74,78,87,81,78
CWIP,0,0,1,9,11,0,0,0
Investments,130,146,145,152,156,158,157,169
Other Assets +,106,100,115,117,109,125,128,118
Total Assets,301,314,338,353,353,370,365,365
