,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,61,50,50,50,50,50,25,50,40,25,40,25,25
Reserves,21,50,57,72,83,91,88,82,58,31,-30,-119,-198
Borrowings +,237,222,203,200,195,356,501,497,495,380,502,525,526
Other Liabilities +,114,80,113,113,123,142,124,129,144,248,160,195,238
Total Liabilities,408,377,398,411,426,614,739,733,723,685,657,627,592
Fixed Assets +,244,209,234,222,217,296,512,499,477,455,432,410,398
CWIP,0,3,2,9,15,70,3,0,0,0,0,0,0
Investments,0,0,8,8,8,8,5,5,5,1,1,0,0
Other Assets +,164,165,154,172,186,240,218,229,240,229,224,217,193
Total Assets,408,377,398,411,426,614,739,733,723,685,657,627,592
