,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,13,14,14,14,14,14,14,14,14,15,15,15
Reserves,194,313,518,681,883,"1,157","1,613","1,911","2,272","2,605","5,327","6,105","6,602"
Borrowings +,238,247,217,122,115,151,120,83,49,519,373,316,280
Other Liabilities +,220,229,386,501,622,626,554,618,820,"1,087","1,287","1,354","1,687"
Total Liabilities,664,802,"1,135","1,318","1,633","1,949","2,301","2,626","3,155","4,225","7,002","7,791","8,585"
Fixed Assets +,254,297,478,527,533,874,945,998,"1,186","1,858","2,138","2,452","2,469"
CWIP,33,81,61,42,133,71,77,90,183,271,288,114,110
Investments,1,1,1,1,1,0,83,161,129,150,872,900,924
Other Assets +,376,423,596,748,967,"1,003","1,196","1,378","1,657","1,946","3,704","4,325","5,083"
Total Assets,664,802,"1,135","1,318","1,633","1,949","2,301","2,626","3,155","4,225","7,002","7,791","8,585"
